product_id,product_name,category,sub_category,brand,supplier_name,unit_cost,selling_price,weight_kg,fragile,perishable,reorder_level,lead_time_days,product_rating
PROD549,Jacket,Clothing,Winter Wear,Monte Carlo,Desi Distributors,4150,5200,0.79,No,No,300,5,4.2
PROD550,Sweater,Clothing,Winter Wear,Decathlon,Jayshree Enterprises,1960,2670,0.47,No,No,300,5,4.7
PROD551,Thermal Set,Clothing,Winter Wear,Decathlon,Heritage Trading,370,500,0.58,No,No,300,6,4.4
PROD552,Wool Cap,Clothing,Winter Wear,Woodland,Allied Trading,180,250,0.18,No,No,300,4,4.0
PROD553,Gloves,Clothing,Winter Wear,Woodland,Imperial Distributors,430,570,0.18,No,No,75,6,3.6
PROD554,Muffler,Clothing,Winter Wear,Woodland,Golden Supply,330,430,0.17,No,No,250,4,4.1
PROD555,Basmati Rice 5kg,Grocery,Staples,India Gate,Patel Trading Co,740,870,5.0,No,No,100,4,3.5
PROD556,Wheat Flour 10kg,Grocery,Staples,Tata,Fortune Traders,290,340,10.0,No,No,150,6,4.3
PROD557,Toor Dal 1kg,Grocery,Staples,Daawat,Kumar Industries,100,120,1.0,No,No,150,5,3.2
PROD558,Sugar 5kg,Grocery,Staples,Daawat,Desi Distributors,230,270,5.0,No,No,150,9,3.3
PROD559,Refined Oil 5L,Grocery,Staples,India Gate,Jayshree Enterprises,830,960,4.62,No,No,100,9,4.1
PROD560,Mustard Oil 1L,Grocery,Staples,India Gate,Star Enterprises,140,160,0.91,No,No,150,6,4.4
PROD561,Salt 1kg,Grocery,Staples,Patanjali,Royal Trading,20,20,1.0,No,No,200,8,4.7
PROD562,Milk 1L,Grocery,Dairy Products,Verka,Diamond Suppliers,50,60,1.0,No,Yes,150,3,4.0
PROD563,Paneer 200g,Grocery,Dairy Products,Mother Dairy,Mehra Logistics,90,110,0.2,No,Yes,100,3,4.1
PROD564,Curd 400g,Grocery,Dairy Products,Parag,Desi Distributors,40,50,0.4,No,Yes,300,1,3.6
PROD565,Butter 500g,Grocery,Dairy Products,Amul,Jayshree Enterprises,180,220,0.5,No,Yes,150,3,3.9
PROD566,Cheese Slice 200g,Grocery,Dairy Products,Parag,Allied Trading,100,120,0.2,No,Yes,250,2,4.4
PROD567,Ghee 1L,Grocery,Dairy Products,Amul,Eagle Enterprises,600,690,0.95,No,No,50,10,4.2
PROD568,Potato Chips 100g,Grocery,Snacks & Beverages,Cadbury,Desi Distributors,20,20,0.1,No,Yes,200,2,4.3
PROD569,Namkeen Mix 400g,Grocery,Snacks & Beverages,Cadbury,Keshav Traders,110,140,0.4,No,Yes,300,3,4.8
PROD570,Biscuits Pack,Grocery,Snacks & Beverages,Coca-Cola,Global Supply House,70,90,0.2,No,Yes,75,2,4.7
PROD571,Cold Drink 2L,Grocery,Snacks & Beverages,Parle,Agarwal Traders,90,110,2.1,No,Yes,50,3,4.5
PROD572,Juice 1L,Grocery,Snacks & Beverages,Haldiram's,Naveen Enterprises,90,110,1.0,No,Yes,75,3,3.9
PROD573,Energy Drink 250ml,Grocery,Snacks & Beverages,Haldiram's,National Distributors,120,150,0.28,No,Yes,150,2,3.3
PROD574,Instant Noodles Pack of 4,Grocery,Snacks & Beverages,Cadbury,Eagle Enterprises,60,80,0.28,No,Yes,300,3,4.2
PROD575,Turmeric Powder 200g,Grocery,Spices & Masala,Tata Sampann,Allied Trading,30,40,0.2,No,No,300,10,4.0
PROD576,Red Chilli Powder 200g,Grocery,Spices & Masala,Everest,ABC Supplies,60,70,0.2,No,No,250,7,4.4
PROD577,Garam Masala 100g,Grocery,Spices & Masala,Tata Sampann,Diamond Suppliers,80,110,0.1,No,No,150,5,4.3
PROD578,Coriander Powder 200g,Grocery,Spices & Masala,MDH,Global Supply House,30,40,0.2,No,No,100,10,3.9
PROD579,Cumin Seeds 200g,Grocery,Spices & Masala,Everest,Kumar Industries,90,110,0.2,No,No,300,7,4.0
PROD580,Kitchen King Masala 100g,Grocery,Spices & Masala,MDH,Metro Suppliers,60,80,0.1,No,No,50,4,4.6
PROD581,Mixer Grinder 750W,Home & Kitchen,Kitchen Appliances,Kent,Singh Supply Chain,1900,2250,5.13,Yes,No,200,5,3.5
PROD582,Microwave Oven 20L,Home & Kitchen,Kitchen Appliances,Philips,Global Supply House,6870,8000,12.95,Yes,No,300,5,3.9
PROD583,Electric Kettle 1.5L,Home & Kitchen,Kitchen Appliances,Butterfly,Golden Supply,1050,1380,1.21,Yes,No,100,4,3.4
PROD584,Induction Cooktop,Home & Kitchen,Kitchen Appliances,Prestige,Allied Trading,3070,3870,3.13,Yes,No,75,7,3.3
PROD585,Air Fryer 4.2L,Home & Kitchen,Kitchen Appliances,Kent,Golden Supply,6770,8220,4.66,Yes,No,250,9,4.3
PROD586,Toaster 2-Slice,Home & Kitchen,Kitchen Appliances,Prestige,Metro Suppliers,1580,2030,1.47,Yes,No,250,4,3.9
PROD587,Water Purifier RO,Home & Kitchen,Kitchen Appliances,Butterfly,Imperial Distributors,12830,14780,8.96,Yes,No,150,7,4.9
PROD588,Pressure Cooker 5L,Home & Kitchen,Cookware,Pigeon,Excel Distributors,1820,2300,3.15,No,No,100,9,4.3
PROD589,Non-Stick Pan 24cm,Home & Kitchen,Cookware,Vinod,Fortune Traders,1030,1330,0.9,No,No,100,10,4.7
PROD590,Kadhai 3L,Home & Kitchen,Cookware,Prestige,Global Supply House,930,1200,1.77,No,No,250,10,3.9
PROD591,Tawa Non-Stick,Home & Kitchen,Cookware,Prestige,Singh Supply Chain,650,830,0.64,No,No,100,7,3.8
PROD592,Casserole Set 3-Piece,Home & Kitchen,Cookware,Vinod,Excel Distributors,1780,2250,2.73,Yes,No,50,4,3.6
PROD593,Frying Pan Stainless Steel,Home & Kitchen,Cookware,Pigeon,Indian Traders Co,940,1260,1.09,No,No,150,9,4.0
PROD594,Wall Clock Wooden,Home & Kitchen,Home Decor,Home Centre,Agarwal Traders,450,580,0.84,Yes,No,200,9,3.9
PROD595,Photo Frame Set of 5,Home & Kitchen,Home Decor,Ikea,Star Enterprises,600,790,1.13,Yes,No,250,9,4.0
PROD596,Flower Vase Ceramic,Home & Kitchen,Home Decor,Chumbak,National Distributors,360,460,0.58,Yes,No,200,5,4.9
PROD597,Decorative Lamp,Home & Kitchen,Home Decor,Fabindia,Fortune Traders,830,1130,1.63,Yes,No,300,6,4.1
PROD598,Wall Mirror Framed,Home & Kitchen,Home Decor,Chumbak,Agarwal Traders,2760,3790,2.58,Yes,No,100,6,3.2
PROD599,Showpiece Figurine,Home & Kitchen,Home Decor,Ikea,Star Enterprises,250,310,0.48,Yes,No,75,4,4.3
PROD600,Face Wash 150ml,Health & Beauty,Skincare,Biotique,Sharma Enterprises,180,250,0.2,No,No,150,8,3.8
PROD601,Moisturizer 200ml,Health & Beauty,Skincare,Lakme,Imperial Distributors,200,280,0.22,No,No,150,4,3.3
PROD602,Sunscreen SPF50 100g,Health & Beauty,Skincare,The Body Shop,Royal Trading,430,550,0.15,No,No,50,10,5.0
PROD603,Face Serum 30ml,Health & Beauty,Skincare,Lakme,Heritage Trading,540,710,0.1,Yes,No,300,8,4.1
PROD604,Night Cream 50g,Health & Beauty,Skincare,Mamaearth,Prime Wholesale,650,840,0.12,Yes,No,200,8,3.3
PROD605,Lip Balm 10g,Health & Beauty,Skincare,The Body Shop,Singh Supply Chain,60,80,0.02,No,No,50,9,3.5
PROD606,Body Lotion 400ml,Health & Beauty,Skincare,Nivea,Global Supply House,340,430,0.46,No,No,150,7,3.7
PROD607,Shampoo 400ml,Health & Beauty,Haircare,Dove,Global Supply House,190,250,0.42,No,No,75,10,4.9
PROD608,Conditioner 200ml,Health & Beauty,Haircare,Dyson,Prime Wholesale,220,300,0.22,No,No,75,5,4.4
PROD609,Hair Oil 200ml,Health & Beauty,Haircare,Tresemme,Heritage Trading,200,250,0.21,No,No,250,5,4.7
PROD610,Hair Serum 100ml,Health & Beauty,Haircare,Tresemme,Eagle Enterprises,300,400,0.14,Yes,No,100,6,4.1
PROD611,Hair Dryer 1400W,Health & Beauty,Haircare,Parachute,Fortune Traders,1300,1680,0.63,Yes,No,100,7,3.2
PROD612,Multivitamin Tablets 60s,Health & Beauty,Health Supplements,Himalaya,Royal Trading,540,730,0.15,No,Yes,300,3,4.4
PROD613,Protein Powder 1kg,Health & Beauty,Health Supplements,HealthKart,Indian Traders Co,2350,3090,1.15,No,Yes,150,1,4.8
PROD614,Omega-3 Capsules 60s,Health & Beauty,Health Supplements,Himalaya,Naveen Enterprises,750,970,0.15,No,Yes,150,2,3.8
PROD615,Vitamin C Tablets 60s,Health & Beauty,Health Supplements,MuscleBlaze,Indian Traders Co,290,380,0.09,No,Yes,150,3,4.7
PROD616,Whey Protein 2kg,Health & Beauty,Health Supplements,Dabur,National Distributors,2520,3000,2.21,No,Yes,300,2,3.9
PROD617,Dumbbell Set 10kg,Sports & Fitness,Gym Equipment,Cultsport,Star Enterprises,1950,2340,10.0,No,No,50,10,3.5
PROD618,Yoga Mat 6mm,Sports & Fitness,Gym Equipment,Strauss,Golden Supply,620,820,0.83,No,No,100,7,4.2
PROD619,Resistance Band Set,Sports & Fitness,Gym Equipment,Strauss,ABC Supplies,400,540,0.59,No,No,200,4,4.6
PROD620,Skipping Rope,Sports & Fitness,Gym Equipment,Boldfit,Naveen Enterprises,150,190,0.17,No,No,300,7,4.8
PROD621,Pull-Up Bar,Sports & Fitness,Gym Equipment,Lifelong,Indian Traders Co,1550,2010,2.73,No,No,100,5,4.1
PROD622,Cricket Bat Kashmir Willow,Sports & Fitness,Sports Gear,Yonex,Agarwal Traders,1630,2070,1.24,No,No,75,7,3.9
PROD623,Football Size 5,Sports & Fitness,Sports Gear,Adidas,Naveen Enterprises,760,1030,0.41,No,No,300,10,4.7
PROD624,Badminton Racket,Sports & Fitness,Sports Gear,Yonex,ABC Supplies,2360,3070,0.09,Yes,No,100,10,4.7
PROD625,Tennis Ball Pack of 6,Sports & Fitness,Sports Gear,Adidas,Global Supply House,450,600,0.38,No,No,100,5,3.8
PROD626,Table Tennis Set,Sports & Fitness,Sports Gear,Adidas,Singh Supply Chain,630,870,0.6,No,No,75,10,4.2
PROD627,Basketball Size 7,Sports & Fitness,Sports Gear,Nivia,Fortune Traders,1340,1720,0.62,No,No,300,6,3.9
PROD628,Novel Bestseller,Books & Stationery,Books,Arihant,Royal Trading,250,300,0.32,No,No,50,8,4.8
PROD629,Self-Help Book,Books & Stationery,Books,HarperCollins,Fortune Traders,120,160,0.23,No,No,300,4,4.4
PROD630,UPSC Guide,Books & Stationery,Books,Arihant,National Distributors,340,440,0.97,No,No,150,6,4.4
PROD631,Children's Story Book,Books & Stationery,Books,S Chand,National Distributors,220,300,0.24,No,No,300,7,4.1
PROD632,Cookbook Hardcover,Books & Stationery,Books,Pearson,Desi Distributors,260,310,0.87,No,No,75,9,4.5
PROD633,Biography,Books & Stationery,Books,HarperCollins,Jayshree Enterprises,490,640,0.38,No,No,75,9,4.4
PROD634,Notebook A4 Pack of 6,Books & Stationery,Office Stationery,Classmate,Metro Suppliers,160,210,1.42,No,No,75,6,3.6
PROD635,Gel Pen Set of 10,Books & Stationery,Office Stationery,Reynolds,Mehra Logistics,130,180,0.12,No,No,300,5,3.9
PROD636,Marker Set 4 Colors,Books & Stationery,Office Stationery,Casio,Agarwal Traders,70,100,0.1,No,No,100,5,4.0
PROD637,Stapler Medium,Books & Stationery,Office Stationery,Casio,Desi Distributors,40,50,0.2,No,No,50,6,4.0
PROD638,Sticky Notes Pack of 4,Books & Stationery,Office Stationery,Camlin,Eagle Enterprises,130,170,0.11,No,No,300,7,3.7
PROD639,File Folder Set of 5,Books & Stationery,Office Stationery,Reynolds,Royal Trading,200,250,0.4,No,No,100,7,5.0
PROD640,Scientific Calculator,Books & Stationery,Office Stationery,Camlin,Kumar Industries,460,590,0.15,Yes,No,300,7,4.4
PROD641,3-Seater Fabric Sofa,Furniture,Living Room,Wakefit,Indian Traders Co,27580,37620,46.66,No,No,100,9,4.6
PROD642,Coffee Table Wooden,Furniture,Living Room,Nilkamal,Singh Supply Chain,4050,5170,14.21,Yes,No,250,9,4.6
PROD643,TV Unit Cabinet,Furniture,Living Room,Wakefit,Keshav Traders,7490,9140,25.67,Yes,No,50,4,3.8
PROD644,Bookshelf 4-Tier,Furniture,Living Room,Urban Ladder,Naveen Enterprises,1610,2060,20.92,No,No,100,5,4.5
PROD645,Bean Bag XXXL,Furniture,Living Room,Nilkamal,Excel Distributors,920,1260,3.25,No,No,100,6,4.7
PROD646,Side Table Wooden,Furniture,Living Room,Godrej Interio,Sharma Enterprises,2350,3220,7.73,No,No,100,10,4.6
PROD647,Shoe Rack 4-Tier,Furniture,Living Room,Urban Ladder,Jayshree Enterprises,2140,2660,9.73,No,No,250,5,5.0
PROD648,Queen Bed Frame,Furniture,Bedroom,Ikea,Kumar Industries,13120,17300,51.1,No,No,150,4,3.9
PROD649,Mattress King Size Orthopedic,Furniture,Bedroom,HomeTown,Bharat Supply Co,14070,18120,31.16,No,No,50,10,4.4
PROD650,Wardrobe 2-Door,Furniture,Bedroom,Godrej,National Distributors,7280,9490,72.03,No,No,75,8,4.4
PROD651,Bedside Table,Furniture,Bedroom,HomeTown,Bharat Supply Co,2470,3370,7.04,No,No,75,6,3.3
PROD652,Dressing Table with Mirror,Furniture,Bedroom,Wakefit,Agarwal Traders,4530,5770,33.08,Yes,No,75,4,3.9
PROD653,Car Phone Mount,Automotive,Car Accessories,Bosch,Prime Wholesale,500,680,0.2,Yes,No,250,8,3.5
PROD654,Dash Cam 1080p,Automotive,Car Accessories,Philips,Prime Wholesale,4220,5590,0.44,Yes,No,100,8,3.3
PROD655,Seat Cover Set Leatherette,Automotive,Car Accessories,Bosch,Jayshree Enterprises,2540,3280,4.41,No,No,250,5,3.9
PROD656,Car Vacuum Cleaner 12V,Automotive,Car Accessories,Bosch,Jayshree Enterprises,670,850,1.38,Yes,No,50,4,4.4
PROD657,Air Freshener Pack of 2,Automotive,Car Accessories,Godrej,Agarwal Traders,340,430,0.25,No,No,300,6,4.2
PROD658,Car Fast Charger 36W,Automotive,Car Accessories,3M,Singh Supply Chain,660,880,0.14,Yes,No,75,8,3.8
PROD659,Helmet Full Face ISI,Automotive,Bike Accessories,Studds,Jayshree Enterprises,2220,2920,1.59,Yes,No,75,6,4.2
PROD660,Riding Gloves Leather,Automotive,Bike Accessories,Studds,ABC Supplies,470,650,0.25,No,No,300,5,3.6
PROD661,Bike Water Resistant Cover,Automotive,Bike Accessories,Rynox,Fortune Traders,230,300,0.58,No,No,50,5,4.5
PROD662,Mobile Holder for Bike,Automotive,Bike Accessories,BoboGear,Patel Trading Co,520,680,0.23,Yes,No,75,8,4.9
PROD663,Saddlebag Waterproof 30L,Automotive,Bike Accessories,Steelbird,Excel Distributors,3090,4220,1.5,No,No,250,9,4.9
PROD664,Tail Light LED,Automotive,Bike Accessories,Steelbird,Desi Distributors,550,760,0.11,Yes,No,250,7,4.8
PROD665,Diapers Pack L 64s,Baby & Kids,Baby Care,Pampers,Naveen Enterprises,810,970,1.25,No,No,200,5,4.3
PROD666,Baby Wipes Pack of 3,Baby & Kids,Baby Care,Himalaya Baby,Excel Distributors,230,290,0.66,No,No,200,8,4.3
PROD667,Baby Lotion 200ml,Baby & Kids,Baby Care,Pampers,Bharat Supply Co,220,270,0.26,No,No,200,9,4.5
PROD668,Baby Shampoo 200ml,Baby & Kids,Baby Care,Huggies,National Distributors,180,240,0.25,No,No,150,7,3.9
PROD669,Feeding Bottle Set 2s,Baby & Kids,Baby Care,Pampers,Metro Suppliers,300,380,0.34,Yes,No,250,6,4.9
PROD670,Baby Blanket Fleece,Baby & Kids,Baby Care,Pampers,Patel Trading Co,300,370,0.54,No,No,100,7,4.7
PROD671,Building Blocks Set 100pc,Baby & Kids,Toys,Toyshine,National Distributors,410,560,0.97,Yes,No,150,8,3.8
PROD672,RC Car Rechargeable,Baby & Kids,Toys,Smartivity,Delta Distributors,1720,2210,1.37,Yes,No,200,9,3.8
PROD673,Board Game Classic,Baby & Kids,Toys,Lego,Indian Traders Co,520,670,0.51,No,No,50,9,3.8
PROD674,Stuffed Teddy Bear 3ft,Baby & Kids,Toys,Toyshine,Agarwal Traders,590,800,1.61,No,No,300,8,4.2
PROD675,Jigsaw Puzzle 500pc,Baby & Kids,Toys,Toyshine,Diamond Suppliers,380,510,0.58,No,No,300,4,4.4
PROD676,Action Figure 12-inch,Baby & Kids,Toys,Lego,Lakshmi Supply Co,380,520,0.27,Yes,No,50,6,3.5
PROD677,Saree Ultra,Clothing,Women's Wear,Aurelia,Bharat Supply Co,6650,8380,0.86,No,No,50,4,4.5
PROD678,Wheat Flour 10kg Plus,Grocery,Staples,Tata,Sharma Enterprises,370,420,10.0,No,No,250,6,4.6
PROD679,Side Table Wooden Ultra,Furniture,Living Room,Nilkamal,Golden Supply,3220,3960,9.66,No,No,200,4,4.4
PROD680,Biscuits Pack Pro,Grocery,Snacks & Beverages,Coca-Cola,Prime Wholesale,100,120,0.2,No,Yes,100,1,4.6
PROD681,Denim Jeans XL,Clothing,Men's Wear,US Polo,Royal Trading,1060,1370,1.01,No,No,150,8,4.4
PROD682,Wireless Mouse Classic,Electronics,Computer Accessories,Logitech,Singh Supply Chain,610,800,0.11,Yes,No,100,5,4.6
PROD683,Cheese Slice 200g V2,Grocery,Dairy Products,Nandini,Mehra Logistics,110,130,0.2,No,Yes,75,2,4.2
PROD684,Refined Oil 5L Max,Grocery,Staples,Tata,Naveen Enterprises,1170,1370,5.78,No,No,150,10,4.5
PROD685,Multivitamin Tablets 60s Lite,Health & Beauty,Health Supplements,HealthKart,Royal Trading,440,540,0.12,No,Yes,150,3,3.9
PROD686,Tail Light LED Plus,Automotive,Bike Accessories,Rynox,Mehra Logistics,680,890,0.11,Yes,No,300,8,4.0
PROD687,Frying Pan Stainless Steel Mini,Home & Kitchen,Cookware,Pigeon,Royal Trading,720,890,0.87,No,No,150,8,3.3
PROD688,Kitchen King Masala 100g Elite,Grocery,Spices & Masala,Everest,Naveen Enterprises,80,100,0.1,No,No,200,9,3.4
PROD689,Children's Story Book Classic,Books & Stationery,Books,Arihant,Agarwal Traders,230,290,0.24,No,No,50,5,3.7
PROD690,Sandals Ultra,Clothing,Footwear,Nike,Mehra Logistics,830,1130,0.61,No,No,300,9,4.1
PROD691,Bean Bag XXXL Gold,Furniture,Living Room,Pepperfry,Bharat Supply Co,1160,1570,3.25,No,No,250,8,3.8
PROD692,Bike Water Resistant Cover XL,Automotive,Bike Accessories,BoboGear,Bharat Supply Co,260,330,0.72,No,No,100,10,3.7
PROD693,Webcam HD XL,Electronics,Computer Accessories,Zebronics,Delta Distributors,1420,1770,0.33,Yes,No,50,6,4.7
PROD694,Over-Ear Headphones Deluxe,Electronics,Audio Devices,Noise,Diamond Suppliers,15460,20490,0.3,Yes,No,200,7,4.0
PROD695,Coffee Table Wooden Gold,Furniture,Living Room,Pepperfry,Bharat Supply Co,5260,6450,14.21,Yes,No,75,6,4.3
PROD696,Self-Help Book Basic,Books & Stationery,Books,S Chand,Eagle Enterprises,110,140,0.23,No,No,50,8,4.4
PROD697,2-in-1 Laptop Classic,Electronics,Laptops,Acer,Excel Distributors,79550,96980,1.22,Yes,No,200,5,3.9
PROD698,Energy Drink 250ml Plus,Grocery,Snacks & Beverages,Tropicana,Delta Distributors,150,190,0.28,No,Yes,300,3,4.4
PROD699,Laptop Stand XL,Electronics,Computer Accessories,HyperX,Kumar Industries,1620,2150,0.91,No,No,250,10,4.4
PROD700,Seat Cover Set Leatherette Basic,Automotive,Car Accessories,Amkette,Lakshmi Supply Co,2120,2780,4.41,No,No,100,6,4.9
PROD701,Baby Blanket Fleece Plus,Baby & Kids,Baby Care,Pampers,Sharma Enterprises,370,490,0.54,No,No,200,7,4.4
PROD702,Air Fryer 4.2L Basic,Home & Kitchen,Kitchen Appliances,Kent,Desi Distributors,5870,7610,4.66,Yes,No,200,4,4.4
PROD703,Hair Oil 200ml Max,Health & Beauty,Haircare,Dove,Singh Supply Chain,270,350,0.26,No,No,100,10,4.1
PROD704,Sugar 5kg Basic,Grocery,Staples,Fortune,Excel Distributors,190,210,5.0,No,No,300,8,4.7
PROD705,Gel Pen Set of 10 Lite,Books & Stationery,Office Stationery,Faber-Castell,Gupta & Sons,110,150,0.1,No,No,200,7,3.5
PROD706,Loafers Elite,Clothing,Footwear,Adidas,Fortune Traders,870,1170,0.56,No,No,150,4,3.9
PROD707,Stuffed Teddy Bear 3ft Elite,Baby & Kids,Toys,Hot Wheels,Golden Supply,770,1010,1.61,No,No,250,10,4.0
PROD708,Stapler Medium Classic,Books & Stationery,Office Stationery,Reynolds,Keshav Traders,40,50,0.2,No,No,300,5,3.9
PROD709,Shoe Rack 4-Tier Pro,Furniture,Living Room,Urban Ladder,Excel Distributors,2870,3630,9.73,No,No,200,7,4.9
PROD710,Wool Cap Gold,Clothing,Winter Wear,Monte Carlo,Bharat Supply Co,230,320,0.18,No,No,150,10,3.9
PROD711,Smart Glasses Elite,Electronics,Wearable Tech,Noise,Naveen Enterprises,28910,37560,0.07,Yes,No,300,5,3.7
PROD712,Cookbook Hardcover Basic,Books & Stationery,Books,Arihant,Imperial Distributors,230,280,0.87,No,No,150,6,4.9
PROD713,Shampoo 400ml Lite,Health & Beauty,Haircare,Parachute,Naveen Enterprises,150,200,0.34,No,No,100,5,3.3
PROD714,Smart Ring Elite,Electronics,Wearable Tech,Samsung,Delta Distributors,27640,35680,0.02,Yes,No,100,10,4.1
PROD715,Kurti Gold,Clothing,Women's Wear,W,Keshav Traders,1210,1590,0.37,No,No,50,4,3.7
PROD716,Leggings Max,Clothing,Women's Wear,Global Desi,Patel Trading Co,400,540,0.26,No,No,300,6,3.6
