format,date,opponent,venue,runs,balls,fours,sixes,not_out,dismissal,tour,away,season,match_ref,tour_id
IPL,2011-04-29,Pune Warriors,M Chinnaswamy Stadium,67,43,4,4,,caught (Harpreet Singh),,,IPL 2011,IPL-501232,
IPL,2011-05-06,Kings XI Punjab,M Chinnaswamy Stadium,27,32,4,0,,bowled,,,IPL 2011,IPL-501244,
IPL,2011-05-08,Kochi Tuskers Kerala,M Chinnaswamy Stadium,27,34,3,0,,,,,IPL 2011,IPL-501247,
IPL,2011-05-11,Rajasthan Royals,Sawai Mansingh Stadium,39,35,3,1,,,,,IPL 2011,IPL-501252,
IPL,2011-05-14,Kolkata Knight Riders,M Chinnaswamy Stadium,15,16,2,0,,caught (MV Boucher),,,IPL 2011,IPL-501255,
IPL,2011-05-17,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,11,12,2,0,,caught (KD Karthik),,,IPL 2011,IPL-501260,
IPL,2011-05-22,Chennai Super Kings,M Chinnaswamy Stadium,31,31,5,0,,caught (R Ashwin),,,IPL 2011,IPL-501266,
IPL,2011-05-24,Chennai Super Kings,Wankhede Stadium,70,46,5,3,,,,,IPL 2011,IPL-501268,
IPL,2011-05-27,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",8,12,0,0,,bowled,,,IPL 2011,IPL-501270,
IPL,2011-05-28,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",35,32,1,1,,lbw,,,IPL 2011,IPL-501271,
T20I,2011-06-04,West Indies,Port of Spain,14,12,2,,,caught,,yes,,T20I # 200,
ODI,2011-06-06,West Indies,Port of Spain,2,8,,,,caught,,yes,,ODI # 3159,
ODI,2011-06-08,West Indies,Port of Spain,81,103,6,1,,caught,,yes,,ODI # 3160,
ODI,2011-06-11,West Indies,North Sound,0,1,,,,lbw,,yes,,ODI # 3161,
ODI,2011-06-13,West Indies,North Sound,22,33,1,,,stumped,,yes,,ODI # 3162,
ODI,2011-06-16,West Indies,Kingston,94,104,10,,,run out,,yes,,ODI # 3163,
Test,2011-06-20,West Indies,Kingston,4,10,1,,,caught,,yes,,Test # 1997,
Test,2011-06-20,West Indies,Kingston,15,54,2,,,caught,,yes,,Test # 1997,
Test,2011-06-28,West Indies,Bridgetown,0,2,,,,caught,,yes,,Test # 1998,
Test,2011-06-28,West Indies,Bridgetown,27,107,1,1,,caught,,yes,,Test # 1998,
Test,2011-07-06,West Indies,Roseau,30,53,2,,,caught,,yes,,Test # 1999,
T20I,2011-08-31,England,Manchester,4,5,,,,caught,,yes,,T20I # 204,
ODI,2011-09-03,England,Chester-le-Street,55,73,4,,,bowled,,yes,,ODI # 3186,
ODI,2011-09-06,England,Southampton,9,9,,,,caught,,yes,,ODI # 3187,
ODI,2011-09-09,England,The Oval,7,18,,,,caught,,yes,,ODI # 3189,
ODI,2011-09-11,England,Lord's,16,36,1,,,caught,,yes,,ODI # 3191,
ODI,2011-09-16,England,Cardiff,107,93,9,1,,hit wicket,,yes,,ODI # 3195,
ODI,2011-10-14,England,Hyderabad,37,63,,,,caught,,no,,ODI # 3199,
ODI,2011-10-17,England,Delhi,112,98,16,,yes,not out,,no,,ODI # 3201,
ODI,2011-10-20,England,Mohali,35,30,5,,,lbw,,no,,ODI # 3205,
ODI,2011-10-23,England,Wankhede,86,99,11,,yes,not out,,no,,ODI # 3207,
ODI,2011-10-25,England,Eden Gardens,0,5,,,,bowled,,no,,ODI # 3210,
T20I,2011-10-29,England,Eden Gardens,15,16,3,,,caught,,no,,T20I # 214,
Test,2011-11-22,West Indies,Wankhede,52,111,5,,,caught,,no,,Test # 2019,
Test,2011-11-22,West Indies,Wankhede,63,114,3,1,,caught,,no,,Test # 2019,
ODI,2011-11-29,West Indies,Cuttack,3,6,,,,bowled,,no,,ODI # 3217,
ODI,2011-12-02,West Indies,Visakhapatnam,117,123,14,,,caught,,no,,ODI # 3219,
ODI,2011-12-05,West Indies,Ahmedabad,20,30,3,,,lbw,,no,,ODI # 3221,
ODI,2011-12-08,West Indies,Indore,23,11,3,,yes,not out,,no,,ODI # 3223,
ODI,2011-12-11,West Indies,Chennai,80,85,5,,,caught,,no,,ODI # 3224,
Test,2011-12-26,Australia,Melbourne,11,21,1,,,caught,,yes,,Test # 2025,
Test,2011-12-26,Australia,Melbourne,0,1,,,,lbw,,yes,,Test # 2025,
Test,2012-01-03,Australia,Sydney,23,41,3,,,caught,,yes,,Test # 2027,
Test,2012-01-03,Australia,Sydney,9,24,2,,,lbw,,yes,,Test # 2027,
Test,2012-01-13,Australia,W.A.C.A,44,81,6,,,caught,,yes,,Test # 2029,
Test,2012-01-13,Australia,W.A.C.A,75,136,9,,,caught,,yes,,Test # 2029,
Test,2012-01-24,Australia,Adelaide,116,213,11,1,,lbw,,yes,,Test # 2031,
Test,2012-01-24,Australia,Adelaide,22,62,2,,,run out,,yes,,Test # 2031,
T20I,2012-02-01,Australia,Sydney,22,21,,1,,caught,,yes,,T20I # 217,
T20I,2012-02-03,Australia,Melbourne,31,24,3,,,caught,,yes,,T20I # 218,
ODI,2012-02-05,Australia,Melbourne,31,34,3,,,caught,,yes,,ODI # 3231,
ODI,2012-02-08,Sri Lanka,W.A.C.A,77,94,8,1,,run out,,yes,,ODI # 3233,
ODI,2012-02-12,Australia,Adelaide,18,28,1,,,caught,,yes,,ODI # 3237,
ODI,2012-02-14,Sri Lanka,Adelaide,15,25,1,,,lbw,,yes,,ODI # 3239,
ODI,2012-02-19,Australia,Brisbane,12,25,,,,caught,,yes,,ODI # 3244,
ODI,2012-02-21,Sri Lanka,Brisbane,66,83,2,,,caught,,yes,,ODI # 3246,
ODI,2012-02-26,Australia,Sydney,21,27,2,,,caught,,yes,,ODI # 3250,
ODI,2012-02-28,Sri Lanka,Hobart,133,86,16,2,yes,not out,,yes,,ODI # 3251,
ODI,2012-03-13,Sri Lanka,Mirpur,108,120,7,,,caught,,yes,,ODI # 3259,
ODI,2012-03-16,Bangladesh,Mirpur,66,82,5,,,bowled,,yes,,ODI # 3261,
ODI,2012-03-18,Pakistan,Mirpur,183,148,22,1,,caught,,yes,,ODI # 3263,
IPL,2012-04-07,Delhi Daredevils,M Chinnaswamy Stadium,8,8,1,0,,caught (Y Nagar),,,IPL 2012,IPL-548310,
IPL,2012-04-10,Kolkata Knight Riders,M Chinnaswamy Stadium,6,14,1,0,,caught (MK Tiwary),,,IPL 2012,IPL-548315,
IPL,2012-04-12,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",57,48,5,2,,caught (F du Plessis),,,IPL 2012,IPL-548318,
IPL,2012-04-15,Rajasthan Royals,M Chinnaswamy Stadium,22,18,2,0,,bowled,,,IPL 2012,IPL-548324,
IPL,2012-04-17,Pune Warriors,M Chinnaswamy Stadium,16,19,1,0,,caught (R Sharma),,,IPL 2012,IPL-548327,
IPL,2012-04-20,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",4,4,1,0,,caught (SE Marsh),,,IPL 2012,IPL-548331,
IPL,2012-04-23,Rajasthan Royals,Sawai Mansingh Stadium,16,16,2,0,,caught (BJ Hodge),,,IPL 2012,IPL-548336,
IPL,2012-04-28,Kolkata Knight Riders,Eden Gardens,18,19,3,0,,lbw,,,IPL 2012,IPL-548344,
IPL,2012-05-02,Kings XI Punjab,M Chinnaswamy Stadium,45,42,3,2,,bowled,,,IPL 2012,IPL-548350,
IPL,2012-05-06,Deccan Chargers,M Chinnaswamy Stadium,9,9,1,0,,caught (DW Steyn),,,IPL 2012,IPL-548356,
IPL,2012-05-09,Mumbai Indians,Wankhede Stadium,36,27,1,2,,,,,IPL 2012,IPL-548360,
IPL,2012-05-11,Pune Warriors,Subrata Roy Sahara Stadium,9,12,1,0,,caught (SPD Smith),,,IPL 2012,IPL-548362,
IPL,2012-05-14,Mumbai Indians,M Chinnaswamy Stadium,3,1,0,0,,,,,IPL 2012,IPL-548367,
IPL,2012-05-17,Delhi Daredevils,Feroz Shah Kotla,73,55,9,1,,,,,IPL 2012,IPL-548372,
IPL,2012-05-20,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",42,41,2,3,,caught (MS Gony),,,IPL 2012,IPL-548376,
ODI,2012-07-21,Sri Lanka,Hambantota,106,113,9,,,caught,,yes,,ODI # 3291,
ODI,2012-07-24,Sri Lanka,Hambantota,1,5,,,,caught,,yes,,ODI # 3292,
ODI,2012-07-28,Sri Lanka,Colombo (RPS),38,65,2,,,caught,,yes,,ODI # 3293,
ODI,2012-07-31,Sri Lanka,Colombo (RPS),128,119,12,1,yes,not out,,yes,,ODI # 3294,
ODI,2012-08-04,Sri Lanka,Pallekele,23,35,2,,,lbw,,yes,,ODI # 3295,
T20I,2012-08-07,Sri Lanka,Pallekele,68,48,11,1,,caught,,yes,,T20I # 255,
Test,2012-08-23,New Zealand,Hyderabad,58,107,8,,,caught,,no,,Test # 2054,
Test,2012-08-31,New Zealand,Bengaluru,103,193,14,1,,lbw,,no,,Test # 2055,
Test,2012-08-31,New Zealand,Bengaluru,51,82,9,,yes,not out,,no,,Test # 2055,
T20I,2012-09-11,New Zealand,Chennai,70,41,10,1,,caught,,no,,T20I # 261,
T20I,2012-09-19,Afghanistan,Colombo (RPS),50,39,4,2,,caught,,yes,,T20I # 265,
T20I,2012-09-23,England,Colombo (RPS),40,32,6,,,caught,,yes,,T20I # 272,
T20I,2012-09-28,Australia,Colombo (RPS),15,13,2,,,caught,,yes,,T20I # 278,
T20I,2012-09-30,Pakistan,Colombo (RPS),78,61,8,2,yes,not out,,yes,,T20I # 282,
T20I,2012-10-02,South Africa,Colombo (RPS),2,6,,,,caught,,yes,,T20I # 286,
Test,2012-11-15,England,Ahmedabad,19,67,3,,,bowled,,no,,Test # 2058,
Test,2012-11-15,England,Ahmedabad,14,21,3,,yes,not out,,no,,Test # 2058,
Test,2012-11-23,England,Wankhede,19,55,3,,,caught,,no,,Test # 2062,
Test,2012-11-23,England,Wankhede,7,13,1,,,caught,,no,,Test # 2062,
Test,2012-12-05,England,Eden Gardens,6,24,1,,,caught,,no,,Test # 2065,
Test,2012-12-05,England,Eden Gardens,20,60,3,,,caught,,no,,Test # 2065,
Test,2012-12-13,England,Nagpur,103,295,11,,,lbw,,no,,Test # 2066,
T20I,2012-12-20,England,Pune,21,17,2,,,bowled,,no,,T20I # 292,
T20I,2012-12-22,England,Wankhede,38,20,7,,,lbw,,no,,T20I # 294,
T20I,2012-12-25,Pakistan,Bengaluru,9,11,1,,,caught,,no,,T20I # 296,
T20I,2012-12-28,Pakistan,Ahmedabad,27,22,3,,,run out,,no,,T20I # 298,
ODI,2012-12-30,Pakistan,Chennai,0,5,,,,bowled,,no,,ODI # 3314,
ODI,2013-01-03,Pakistan,Eden Gardens,6,9,1,,,caught,,no,,ODI # 3315,
ODI,2013-01-06,Pakistan,Delhi,7,17,1,,,caught,,no,,ODI # 3316,
ODI,2013-01-11,England,Rajkot,15,22,1,,,caught,,no,,ODI # 3318,
ODI,2013-01-15,England,Kochi,37,54,1,1,,caught,,no,,ODI # 3320,
ODI,2013-01-19,England,Ranchi,77,79,9,2,yes,not out,,no,,ODI # 3322,
ODI,2013-01-23,England,Mohali,26,33,3,,,caught,,no,,ODI # 3327,
ODI,2013-01-27,England,Dharamsala,0,1,,,,caught,,no,,ODI # 3329,
Test,2013-02-22,Australia,Chennai,107,206,15,1,,caught,,no,,Test # 2074,
Test,2013-03-02,Australia,Hyderabad,34,92,3,,,caught,,no,,Test # 2076,
Test,2013-03-14,Australia,Mohali,67,129,7,1,yes,not out,,no,,Test # 2081,
Test,2013-03-14,Australia,Mohali,34,61,6,,,caught,,no,,Test # 2081,
Test,2013-03-22,Australia,Delhi,1,8,,,,lbw,,no,,Test # 2085,
Test,2013-03-22,Australia,Delhi,41,60,4,,,lbw,,no,,Test # 2085,
IPL,2013-04-04,Mumbai Indians,M Chinnaswamy Stadium,24,14,4,1,,lbw,,,IPL 2013,IPL-597999,
IPL,2013-04-07,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",46,45,5,1,,caught and bowled,,,IPL 2013,IPL-598004,
IPL,2013-04-07,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5,2,1,0,,,,,IPL 2013,IPL-598004,
IPL,2013-04-09,Sunrisers Hyderabad,M Chinnaswamy Stadium,93,51,11,4,,,,,IPL 2013,IPL-598048,
IPL,2013-04-11,Kolkata Knight Riders,M Chinnaswamy Stadium,35,28,4,2,,caught (EJG Morgan),,,IPL 2013,IPL-598008,
IPL,2013-04-13,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",58,48,2,2,,caught (MS Dhoni),,,IPL 2013,IPL-598012,
IPL,2013-04-16,Delhi Daredevils,M Chinnaswamy Stadium,65,51,7,1,,caught (DPMD Jayawardene),,,IPL 2013,IPL-598017,
IPL,2013-04-20,Rajasthan Royals,M Chinnaswamy Stadium,1,5,0,0,,bowled,,,IPL 2013,IPL-598023,
IPL,2013-04-23,Pune Warriors,M Chinnaswamy Stadium,11,9,0,1,,run out (AB Dinda),,,IPL 2013,IPL-598027,
IPL,2013-04-27,Mumbai Indians,Wankhede Stadium,1,4,0,0,,caught (KD Karthik),,,IPL 2013,IPL-598033,
IPL,2013-04-29,Rajasthan Royals,Sawai Mansingh Stadium,32,35,3,0,,caught (JP Faulkner),,,IPL 2013,IPL-598036,
IPL,2013-05-02,Pune Warriors,Subrata Roy Sahara Stadium,25,18,3,0,,bowled,,,IPL 2013,IPL-598042,
IPL,2013-05-06,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",14,16,1,0,,caught (SE Marsh),,,IPL 2013,IPL-598064,
IPL,2013-05-10,Delhi Daredevils,Feroz Shah Kotla,99,59,10,4,,"run out (BJ Rohrer,KM Jadhav)",,,IPL 2013,IPL-598054,
IPL,2013-05-12,Kolkata Knight Riders,JSCA International Stadium Complex,17,14,2,0,,bowled,,,IPL 2013,IPL-598057,
IPL,2013-05-14,Kings XI Punjab,M Chinnaswamy Stadium,57,43,6,2,,lbw,,,IPL 2013,IPL-598045,
IPL,2013-05-18,Chennai Super Kings,M Chinnaswamy Stadium,56,29,6,4,,,,,IPL 2013,IPL-598068,
ODI,2013-06-06,South Africa,Cardiff,31,41,2,,,caught,,yes,,ODI # 3363,
ODI,2013-06-11,West Indies,The Oval,22,18,4,,,bowled,,yes,,ODI # 3368,
ODI,2013-06-15,Pakistan,Birmingham,22,27,3,,yes,not out,,yes,,ODI # 3372,
ODI,2013-06-20,Sri Lanka,Cardiff,58,64,4,1,yes,not out,,yes,,ODI # 3376,
ODI,2013-06-23,England,Birmingham,43,34,4,1,,caught,,yes,,ODI # 3377,
ODI,2013-06-30,West Indies,Kingston,11,21,,1,,caught,,yes,,ODI # 3380,
ODI,2013-07-02,Sri Lanka,Kingston,2,5,,,,caught,,yes,,ODI # 3382,
ODI,2013-07-05,West Indies,Port of Spain,102,83,13,2,,caught,,yes,,ODI # 3383,
ODI,2013-07-09,Sri Lanka,Port of Spain,31,52,4,,,lbw,,yes,,ODI # 3387,
ODI,2013-07-11,Sri Lanka,Port of Spain,2,5,,,,caught,,yes,,ODI # 3388,
ODI,2013-07-24,Zimbabwe,Harare,115,108,13,1,,caught,,yes,,ODI # 3395,
ODI,2013-07-26,Zimbabwe,Harare,14,18,2,,,caught,,yes,,ODI # 3397,
ODI,2013-07-28,Zimbabwe,Harare,68,88,5,1,yes,not out,,yes,,ODI # 3399,
T20I,2013-10-10,Australia,Rajkot,29,22,2,1,,caught,,no,,T20I # 331,
ODI,2013-10-13,Australia,Pune,61,85,6,,,lbw,,no,,ODI # 3419,
ODI,2013-10-16,Australia,Jaipur,100,52,8,7,yes,not out,,no,,ODI # 3420,
ODI,2013-10-19,Australia,Mohali,68,73,9,,,caught,,no,,ODI # 3421,
ODI,2013-10-30,Australia,Nagpur,115,66,18,1,yes,not out,,no,,ODI # 3424,
ODI,2013-11-02,Australia,Bengaluru,0,3,,,,run out,,no,,ODI # 3428,
Test,2013-11-06,West Indies,Eden Gardens,3,5,,,,caught,,no,,Test # 2101,
Test,2013-11-14,West Indies,Wankhede,57,78,5,,,caught,,no,,Test # 2102,
ODI,2013-11-21,West Indies,Kochi,86,84,9,2,,caught,,no,,ODI # 3436,
ODI,2013-11-24,West Indies,Visakhapatnam,99,100,9,,,caught,,no,,ODI # 3437,
ODI,2013-11-27,West Indies,Kanpur,19,18,3,,,caught,,no,,ODI # 3439,
ODI,2013-12-05,South Africa,Johannesburg,31,35,5,,,caught,,yes,,ODI # 3442,
ODI,2013-12-08,South Africa,Durban,0,5,,,,caught,,yes,,ODI # 3443,
Test,2013-12-18,South Africa,Johannesburg,119,181,18,,,caught,,yes,,Test # 2108,
Test,2013-12-18,South Africa,Johannesburg,96,193,9,,,caught,,yes,,Test # 2108,
Test,2013-12-26,South Africa,Durban,46,87,5,,,caught,,yes,,Test # 2111,
Test,2013-12-26,South Africa,Durban,11,27,1,,,caught,,yes,,Test # 2111,
ODI,2014-01-19,New Zealand,Napier,123,111,11,2,,caught,India in New Zealand 2014 — v New Zealand,yes,,ODI # 3456,India in New Zealand 2014 — v New Zealand|New Zealand
ODI,2014-01-22,New Zealand,Hamilton,78,65,7,2,,caught,India in New Zealand 2014 — v New Zealand,yes,,ODI # 3458,India in New Zealand 2014 — v New Zealand|New Zealand
ODI,2014-01-25,New Zealand,Auckland,6,20,1,,,caught,India in New Zealand 2014 — v New Zealand,yes,,ODI # 3462,India in New Zealand 2014 — v New Zealand|New Zealand
ODI,2014-01-28,New Zealand,Hamilton,2,10,,,,caught,India in New Zealand 2014 — v New Zealand,yes,,ODI # 3465,India in New Zealand 2014 — v New Zealand|New Zealand
ODI,2014-01-31,New Zealand,Wellington,82,78,7,3,,caught,India in New Zealand 2014 — v New Zealand,yes,,ODI # 3467,India in New Zealand 2014 — v New Zealand|New Zealand
Test,2014-02-06,New Zealand,Auckland,4,13,1,,,caught,India in New Zealand 2014 — v New Zealand,yes,,Test # 2118,India in New Zealand 2014 — v New Zealand|New Zealand
Test,2014-02-06,New Zealand,Auckland,67,102,12,,,caught,India in New Zealand 2014 — v New Zealand,yes,,Test # 2118,India in New Zealand 2014 — v New Zealand|New Zealand
Test,2014-02-14,New Zealand,Wellington,38,93,4,,,caught,India in New Zealand 2014 — v New Zealand,yes,,Test # 2120,India in New Zealand 2014 — v New Zealand|New Zealand
Test,2014-02-14,New Zealand,Wellington,105,135,15,1,yes,not out,India in New Zealand 2014 — v New Zealand,yes,,Test # 2120,India in New Zealand 2014 — v New Zealand|New Zealand
ODI,2014-02-26,Bangladesh,Fatullah,136,122,16,2,,bowled,India in Bangladesh 2014 — v Bangladesh,yes,,ODI # 3474,India in Bangladesh 2014 — v Bangladesh|Bangladesh
ODI,2014-02-28,Sri Lanka,Fatullah,48,51,4,1,,bowled,Tournament in Bangladesh 2014,yes,,ODI # 3476,Tournament in Bangladesh 2014|Sri Lanka
ODI,2014-03-02,Pakistan,Mirpur,5,11,,,,caught,Tournament in Bangladesh 2014,yes,,ODI # 3479,Tournament in Bangladesh 2014|Pakistan
T20I,2014-03-21,Pakistan,Mirpur,36,32,4,1,yes,not out,Tournament in Bangladesh 2014,yes,,T20I # 378,Tournament in Bangladesh 2014|Pakistan
T20I,2014-03-23,West Indies,Mirpur,54,41,5,1,,bowled,Tournament in Bangladesh 2014,yes,,T20I # 382,Tournament in Bangladesh 2014|West Indies
T20I,2014-03-28,Bangladesh,Mirpur,57,50,3,1,yes,not out,India in Bangladesh 2014 — v Bangladesh,yes,,T20I # 389,India in Bangladesh 2014 — v Bangladesh|Bangladesh
T20I,2014-03-30,Australia,Mirpur,23,22,2,1,,caught,Tournament in Bangladesh 2014,yes,,T20I # 393,Tournament in Bangladesh 2014|Australia
T20I,2014-04-04,South Africa,Mirpur,72,44,5,2,yes,not out,Tournament in Bangladesh 2014,yes,,T20I # 399,Tournament in Bangladesh 2014|South Africa
T20I,2014-04-06,Sri Lanka,Mirpur,77,58,5,4,,run out,Tournament in Bangladesh 2014,yes,,T20I # 400,Tournament in Bangladesh 2014|Sri Lanka
IPL,2014-04-17,Delhi Daredevils,Sharjah Cricket Stadium,49,38,2,3,,,,,IPL 2014,IPL-729281,
IPL,2014-04-19,Mumbai Indians,Dubai International Cricket Stadium,0,2,0,0,,caught (Harbhajan Singh),,,IPL 2014,IPL-729287,
IPL,2014-04-24,Kolkata Knight Riders,Sharjah Cricket Stadium,31,23,4,0,,bowled,,,IPL 2014,IPL-729299,
IPL,2014-04-26,Rajasthan Royals,Sheikh Zayed Stadium,21,25,3,0,,caught (TG Southee),,,IPL 2014,IPL-729305,
IPL,2014-04-28,Kings XI Punjab,Dubai International Cricket Stadium,4,2,1,0,,lbw,,,IPL 2014,IPL-729313,
IPL,2014-05-04,Sunrisers Hyderabad,M Chinnaswamy Stadium,0,6,0,0,,caught (NV Ojha),,,IPL 2014,IPL-733977,
IPL,2014-05-06,Mumbai Indians,Wankhede Stadium,35,28,2,2,,caught (CJ Anderson),,,IPL 2014,IPL-733983,
IPL,2014-05-09,Kings XI Punjab,M Chinnaswamy Stadium,0,1,0,0,,caught (WP Saha),,,IPL 2014,IPL-733991,
IPL,2014-05-11,Rajasthan Royals,M Chinnaswamy Stadium,4,9,1,0,,caught (R Bhatia),,,IPL 2014,IPL-733999,
IPL,2014-05-13,Delhi Daredevils,M Chinnaswamy Stadium,10,11,0,0,,"run out (R Shukla,Q de Kock)",,,IPL 2014,IPL-734005,
IPL,2014-05-18,Chennai Super Kings,JSCA International Stadium Complex,27,29,1,1,,stumped (MS Dhoni),,,IPL 2014,IPL-734013,
